Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,"Security Control Baseline Low","Security Control Baseline Moderate","Security Control Baseline High"
IA-4(6),Identifier Management | Cross-organization Management,,,,,
IA-4(7),Identifier Management | In-person Registration,w,,,,
IA-4(8),Identifier Management | Pairwise Pseudonymous Identifiers,,,,,
IA-4(9),Identifier Management | Attribute Maintenance and Protection,,,,,
IA-5,Authenticator Management,,,x,x,x
IA-5(1),Authenticator Management | Password-based Authentication,,,x,x,x
IA-5(2),Authenticator Management | Public Key-based Authentication,,,,x,x
IA-5(3),Authenticator Management | In-person or Trusted External Party Registration,w,,,,
IA-5(4),Authenticator Management | Automated Support for Password Strength Determination,w,,,,
IA-5(5),Authenticator Management | Change Authenticators Prior to Delivery,,,,,
IA-5(6),Authenticator Management | Protection of Authenticators,,,,x,x
IA-5(7),Authenticator Management | No Embedded Unencrypted Static Authenticators,,,,,
IA-5(8),Authenticator Management | Multiple System Accounts,,,,,
IA-5(9),Authenticator Management | Federated Credential Management,,,,,
IA-5(10),Authenticator Management | Dynamic Credential Binding,,,,,
IA-5(11),Authenticator Management | Hardware Token-based Authentication,w,,,,
IA-5(12),Authenticator Management | Biometric Authentication Performance,,,,,
IA-5(13),Authenticator Management | Expiration of Cached Authenticators,,,,,
IA-5(14),Authenticator Management | Managing Content of PKI Trust Stores,,,,,
IA-5(15),Authenticator Management | GSA-approved Products and Services,,,,,
IA-5(16),Authenticator Management | In-person or Trusted External Party Authenticator Issuance,,,,,
IA-5(17),Authenticator Management | Presentation Attack Detection for Biometric Authenticators,,,,,
IA-5(18),Authenticator Management | Password Managers,,,,,
IA-6,Authentication Feedback,,,x,x,x
IA-7,Cryptographic Module Authentication,,,x,x,x
IA-8,Identification and Authentication (non-organizational Users),,,x,x,x
IA-8(1),Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,,,x,x,x
IA-8(2),Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators,,,x,x,x
IA-8(3),Identification and Authentication (non-organizational Users) | Use of FICAM-approved Products,w,,,,
IA-8(4),Identification and Authentication (non-organizational Users) | Use of Defined Profiles,,,x,x,x
IA-8(5),Identification and Authentication (non-organizational Users) | Acceptance of PIV-I Credentials,,,,,
IA-8(6),Identification and Authentication (non-organizational Users) | Disassociability,,,,,
IA-9,Service Identification and Authentication,,,,,
IA-9(1),Service Identification and Authentication | Information Exchange,w,,,,
IA-9(2),Service Identification and Authentication | Transmission of Decisions,w,,,,
IA-10,Adaptive Authentication,,,,,
IA-11,Re-authentication,,,x,x,x
IA-12,Identity Proofing,,,,x,x
IA-12(1),Identity Proofing | Supervisor Authorization,,,,,
IA-12(2),Identity Proofing | Identity Evidence,,,,x,x
IA-12(3),Identity Proofing | Identity Evidence Validation and Verification,,,,x,x
IA-12(4),Identity Proofing | In-person Validation and Verification,,,,,x
IA-12(5),Identity Proofing | Address Confirmation,,,,x,x
IA-12(6),Identity Proofing | Accept Externally-proofed Identities,,,,,
IR-1,Policy and Procedures,,x ,x,x,x
IR-2,Incident Response Training,,x,x,x,x
IR-2(1),Incident Response Training | Simulated Events,,,,,x
IR-2(2),Incident Response Training | Automated Training Environments,,,,,x
IR-2(3),Incident Response Training | Breach,,x,,,
IR-3,Incident Response Testing,,x ,,x,x
IR-3(1),Incident Response Testing | Automated Testing,,,,,
IR-3(2),Incident Response Testing | Coordination with Related Plans,,,,x,x
IR-3(3),Incident Response Testing | Continuous Improvement,,,,,
IR-4,Incident Handling,,x,x,x,x
IR-4(1),Incident Handling | Automated Incident Handling Processes,,,,x,x
IR-4(2),Incident Handling | Dynamic Reconfiguration,,,,,
IR-4(3),Incident Handling | Continuity of Operations,,,,,
IR-4(4),Incident Handling | Information Correlation,,,,,x
IR-4(5),Incident Handling | Automatic Disabling of System,,,,,
IR-4(6),Incident Handling | Insider Threats,,,,,
IR-4(7),Incident Handling | Insider Threats — Intra-organization Coordination,,,,,
IR-4(8),Incident Handling | Correlation with External Organizations,,,,,
IR-4(9),Incident Handling | Dynamic Response Capability,,,,,
IR-4(10),Incident Handling | Supply Chain Coordination,,,,,
IR-4(11),Incident Handling | Integrated Incident Response Team,,,,,x
IR-4(12),Incident Handling | Malicious Code and Forensic Analysis,,,,,
IR-4(13),Incident Handling | Behavior Analysis,,,,,
IR-4(14),Incident Handling | Security Operations Center,,,,,
IR-4(15),Incident Handling | Public Relations and Reputation Repair,,,,,
IR-5,Incident Monitoring,,x,x,x,x
IR-5(1),"Incident Monitoring | Automated Tracking, Data Collection, and Analysis",,,,,x
IR-6,Incident Reporting,,x,x,x,x
IR-6(1),Incident Reporting | Automated Reporting,,,,x,x
IR-6(2),Incident Reporting | Vulnerabilities Related to Incidents,,,,,
IR-6(3),Incident Reporting | Supply Chain Coordination,,,,x,x
IR-7,Incident Response Assistance,,x ,x,x,x
IR-7(1),Incident Response Assistance | Automation Support for Availability of Information and Support,,,,x,x
IR-7(2),Incident Response Assistance | Coordination with External Providers,,,,,
IR-8,Incident Response Plan,,x ,x,x,x
IR-8(1),Incident Response Plan | Breaches,,x  ,,,
IR-9,Information Spillage Response,,,,,
IR-9(1),Information Spillage Response | Responsible Personnel,w,,,,
IR-9(2),Information Spillage Response | Training,,,,,
IR-9(3),Information Spillage Response | Post-spill Operations,,,,,
IR-9(4),Information Spillage Response | Exposure to Unauthorized Personnel,,,,,
IR-10,Incident Analysis,w,,,,
MA-1,Policy and Procedures,,,x,x,x
MA-2,Controlled Maintenance,,,x,x,x
MA-2(1),Controlled Maintenance | Record Content,w,,,,
MA-2(2),Controlled Maintenance | Automated Maintenance Activities,,,,,x
MA-3,Maintenance Tools,,,,x,x
MA-3(1),Maintenance Tools | Inspect Tools,,,,x,x
MA-3(2),Maintenance Tools | Inspect Media,,,,x,x
MA-3(3),Maintenance Tools | Prevent Unauthorized Removal,,,,x,x
MA-3(4),Maintenance Tools | Restricted Tool Use,,,,,
MA-3(5),Maintenance Tools | Execution with Privilege,,,,,
MA-3(6),Maintenance Tools | Software Updates and Patches,,,,,
MA-4,Nonlocal Maintenance,,,x,x,x
MA-4(1),Nonlocal Maintenance | Logging and Review,,,,,
MA-4(2),Nonlocal Maintenance | Logically separated communications paths.,w,,,,
MA-4(3),Nonlocal Maintenance | Comparable Security and Sanitization,,,,,x
MA-4(4),Nonlocal Maintenance | Authentication and Separation of Maintenance Sessions,,,,,
MA-4(5),Nonlocal Maintenance | Approvals and Notifications,,,,,
MA-4(6),Nonlocal Maintenance | Cryptographic Protection,,,,,
MA-4(7),Nonlocal Maintenance | Disconnect Verification,,,,,
MA-5,Maintenance Personnel,,,x,x,x
MA-5(1),Maintenance Personnel | Individuals Without Appropriate Access,,,,,x
MA-5(2),Maintenance Personnel | Security Clearances for Classified Systems,,,,,
MA-5(3),Maintenance Personnel | Citizenship Requirements for Classified Systems,,,,,
MA-5(4),Maintenance Personnel | Foreign Nationals,,,,,
MA-5(5),Maintenance Personnel | Non-system Maintenance,,,,,
MA-6,Timely Maintenance,,,,x,x
MA-6(1),Timely Maintenance | Preventive Maintenance,,,,,
MA-6(2),Timely Maintenance | Predictive Maintenance,,,,,
MA-6(3),Timely Maintenance | Automated Support for Predictive Maintenance,,,,,
MA-7,Field Maintenance,,,,,
MP-1,Policy and Procedures,,x ,x,x,x
MP-2,Media Access,,,x,x,x
MP-2(1),Media Access | Automated Restricted Access,w,,,,
MP-2(2),Media Access | Cryptographic Protection,w,,,,
MP-3,Media Marking,,,,x,x
MP-4,Media Storage,,,,x,x
MP-4(1),Media Storage | Cryptographic Protection,w,,,,
MP-4(2),Media Storage | Automated Restricted Access,,,,,
MP-5,Media Transport,,,,x,x
MP-5(1),Media Transport | Protection Outside of Controlled Areas,w,,,,
MP-5(2),Media Transport | Documentation of Activities,w,,,,
MP-5(3),Media Transport | Custodians,,,,,
MP-5(4),Media Transport | Cryptographic Protection,w,,,,
MP-6,Media Sanitization,,x ,x,x,x
MP-6(1),"Media Sanitization | Review, Approve, Track, Document, and Verify",,,,,x
MP-6(2),Media Sanitization | Equipment Testing,,,,,x
MP-6(3),Media Sanitization | Nondestructive Techniques,,,,,x
MP-6(4),Media Sanitization | Controlled Unclassified Information,w,,,,
MP-6(5),Media Sanitization | Classified Information,w,,,,
MP-6(6),Media Sanitization | Media Destruction,w,,,,
MP-6(7),Media Sanitization | Dual Authorization,,,,,
MP-6(8),Media Sanitization | Remote Purging or Wiping of Information,,,,,
MP-7,Media Use,,,x,x,x
MP-7(1),Media Use | Prohibit Use Without Owner,w,,,,
MP-7(2),Media Use | Prohibit Use of Sanitization-resistant Media,,,,,
MP-8,Media Downgrading,,,,,
MP-8(1),Media Downgrading | Documentation of Process,,,,,
MP-8(2),Media Downgrading | Equipment Testing,,,,,
MP-8(3),Media Downgrading | Controlled Unclassified Information,,,,,
MP-8(4),Media Downgrading | Classified Information,,,,,
PE-1,Policy and Procedures,,,x,x,x
PE-2,Physical Access Authorizations,,,x,x,x
PE-2(1),Physical Access Authorizations | Access by Position or Role,,,,,
PE-2(2),Physical Access Authorizations | Two Forms of Identification,,,,,
PE-2(3),Physical Access Authorizations | Restrict Unescorted Access,,,,,
PE-3,Physical Access Control,,,x,x,x
PE-3(1),Physical Access Control | System Access,,,,,x
PE-3(2),Physical Access Control | Facility and Systems,,,,,
PE-3(3),Physical Access Control | Continuous Guards,,,,,
PE-3(4),Physical Access Control | Lockable Casings,,,,,
PE-3(5),Physical Access Control | Tamper Protection,,,,,
PE-3(6),Physical Access Control | Facility Penetration Testing,w,,,,
PE-3(7),Physical Access Control | Physical Barriers,,,,,
PE-3(8),Physical Access Control | Access Control Vestibules,,,,,
PE-4,Access Control for Transmission,,,,x,x
PE-5,Access Control for Output Devices,,,,x,x
PE-5(1),Access Control for Output Devices | Access to Output by Authorized Individuals,w,,,,
PE-5(2),Access Control for Output Devices | Link to Individual Identity,,,,,
PE-5(3),Access Control for Output Devices | Marking Output Devices,w,,,,
PE-6,Monitoring Physical Access,,,x,x,x
PE-6(1),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,,,,x,x
PE-6(2),Monitoring Physical Access | Automated Intrusion Recognition and Responses,,,,,
PE-6(3),Monitoring Physical Access | Video Surveillance,,,,,
PE-6(4),Monitoring Physical Access | Monitoring Physical Access to Systems,,,,,x
PE-7,Visitor Control,w,,,,
PE-8,Visitor Access Records,,,x,x,x
PE-8(1),Visitor Access Records | Automated Records Maintenance and Review,,,,,x
PE-8(2),Visitor Access Records | Physical Access Records,w,,,,
PE-8(3),Visitor Access Records | Limit Personally Identifiable Information Elements,,x ,,,
PE-9,Power Equipment and Cabling,,,,x,x
PE-9(1),Power Equipment and Cabling | Redundant Cabling,,,,,
PE-9(2),Power Equipment and Cabling | Automatic Voltage Controls,,,,,
PE-10,Emergency Shutoff,,,,x,x
PE-10(1),Emergency Shutoff | Accidental and Unauthorized Activation,w,,,,
PE-11,Emergency Power,,,,x,x
PE-11(1),Emergency Power | Alternate Power Supply — Minimal Operational Capability,,,,,x
PE-11(2),Emergency Power | Alternate Power Supply — Self-contained,,,,,
PE-12,Emergency Lighting,,,x,x,x
PE-12(1),Emergency Lighting | Essential Mission and Business Functions,,,,,
PE-13,Fire Protection,,,x,x,x
PE-13(1),Fire Protection | Detection Systems – Automatic Activation and Notification,,,,x,x
PE-13(2),Fire Protection | Suppression Systems – Automatic Activation and Notification,,,,,x
PE-13(3),Fire Protection | Automatic Fire Suppression,w,,,,
PE-13(4),Fire Protection | Inspections,,,,,
PE-14,Environmental Controls,,,x,x,x
PE-14(1),Environmental Controls | Automatic Controls,,,,,
PE-14(2),Environmental Controls | Monitoring with Alarms and Notifications,,,,,
PE-15,Water Damage Protection,,,x,x,x
PE-15(1),Water Damage Protection | Automation Support,,,,,x
PE-16,Delivery and Removal,,,x,x,x
PE-17,Alternate Work Site,,,,x,x
PE-18,Location of System Components,,,,,x
PE-18(1),Location of System Components | Facility Site,w,,,,
PE-19,Information Leakage,,,,,
PE-19(1),Information Leakage | National Emissions and Tempest Policies and Procedures,,,,,
PE-20,Asset Monitoring and Tracking,,,,,
PE-21,Electromagnetic Pulse Protection,,,,,
PE-22,Component Marking,,,,,
PE-23,Facility Location,,,,,
PL-1,Policy and Procedures,,x ,x,x,x
PL-2,System Security and Privacy Plans,,x ,x,x,x
PL-2(1),System Security and Privacy Plans | Concept of Operations,w,,,,
PL-2(2),System Security and Privacy Plans | Functional Architecture,w,,,,
PL-2(3),System Security and Privacy Plans | Plan and Coordinate with Other Organizational Entities,w,,,,
PL-3,System Security Plan Update,w,,,,
PL-4,Rules of Behavior,,x ,x,x,x
PL-4(1),Rules of Behavior | Social Media and External Site/application Usage Restrictions,,x ,x,x,x
PL-5,Privacy Impact Assessment,w,,,,
PL-6,Security-related Activity Planning,w,,,,
PL-7,Concept of Operations,,,,,
PL-8,Security and Privacy Architectures,,x ,,x,x
PL-8(1),Security and Privacy Architectures | Defense in Depth,,,,,
PL-8(2),Security and Privacy Architectures | Supplier Diversity,,,,,
PL-9,Central Management,,x ,,,
PL-10,Baseline Selection,,,x,x,x
PL-11,Baseline Tailoring,,,x,x,x
PM-1,Information Security Program Plan,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-2,Information Security Program Leadership Role,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-3,Information Security and Privacy Resources,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-4,Plan of Action and Milestones Process,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-5,System Inventory,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-5(1),System Inventory | Inventory of Personally Identifiable Information,,x  ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-6,Measures of Performance,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-7,Enterprise Architecture,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-7(1),Enterprise Architecture | Offloading,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-8,Critical Infrastructure Plan,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-9,Risk Management Strategy,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-10,Authorization Process,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-11,Mission and Business Process Definition,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-12,Insider Threat Program,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-13,Security and Privacy Workforce,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-14,"Testing, Training, and Monitoring",,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-15,Security and Privacy Groups and Associations,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-16,Threat Awareness Program,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-16(1),Threat Awareness Program | Automated Means for Sharing Threat Intelligence,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-17,Protecting Controlled Unclassified Information on External Systems,,x,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-18,Privacy Program Plan,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-19,Privacy Program Leadership Role,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-20,Dissemination of Privacy Program Information,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-20(1),"Dissemination of Privacy Program Information | Privacy Policies on Websites, Applications, and Digital Services",,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-21,Accounting of Disclosures,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-22,Personally Identifiable Information Quality Management,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-23,Data Governance Body,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-24,Data Integrity Board,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-25,"Minimization of Personally Identifiable Information Used in Testing, Training, and Research",,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-26,Complaint Management,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-27,Privacy Reporting,,x ,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-28,Risk Framing,,x,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-29,Risk Management Program Leadership Roles,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-30,Supply Chain Risk Management Strategy,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-30(1),Supply Chain Risk Management Strategy | Suppliers of Critical or Mission-essential Items,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-31,Continuous Monitoring Strategy,,x,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PM-32,Purposing,,,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide,N/A - Deployed organiation-wide
PS-1,Policy and Procedures,,,x,x,x
PS-2,Position Risk Designation,,,x,x,x
PS-3,Personnel Screening,,,x,x,x
PS-3(1),Personnel Screening | Classified Information,,,,,
PS-3(2),Personnel Screening | Formal Indoctrination,,,,,
PS-3(3),Personnel Screening | Information with Special Protective Measures,,,,,
PS-3(4),Personnel Screening | Citizenship Requirements,,,,,
PS-4,Personnel Termination,,,x,x,x
PS-4(1),Personnel Termination | Post-employment Requirements,,,,,
PS-4(2),Personnel Termination | Automated Actions,,,,,x
PS-5,Personnel Transfer,,,x,x,x
PS-6,Access Agreements,,x,x,x,x
PS-6(1),Access Agreements | Information Requiring Special Protection,w,,,,
PS-6(2),Access Agreements | Classified Information Requiring Special Protection,,,,,
PS-6(3),Access Agreements | Post-employment Requirements,,,,,
PS-7,External Personnel Security,,,x,x,x
PS-8,Personnel Sanctions,,,x,x,x
PS-9,Position Descriptions,,,x,x,x
PT-1,Policy and Procedures,,x ,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2,Authority to Process Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2(1),Authority to Process Personally Identifiable Information | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2(2),Authority to Process Personally Identifiable Information | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3,Personally Identifiable Information Processing Purposes,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3(1),Personally Identifiable Information Processing Purposes | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3(2),Personally Identifiable Information Processing Purposes | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4,Consent,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(1),Consent | Tailored Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(2),Consent | Just-in-time Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(3),Consent | Revocation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5,Privacy Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5(1),Privacy Notice | Just-in-time Notice,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5(2),Privacy Notice | Privacy Act Statements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6,System of Records Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6(1),System of Records Notice | Routine Uses,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6(2),System of Records Notice | Exemption Rules,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7,Specific Categories of Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7(1),Specific Categories of Personally Identifiable Information | Social Security Numbers,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7(2),Specific Categories of Personally Identifiable Information | First Amendment Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-8,Computer Matching Requirements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
RA-1,Policy and Procedures,,x ,x,x,x
RA-2,Security Categorization,,,x,x,x
RA-2(1),Security Categorization | Impact-level Prioritization,,,,,
RA-3,Risk Assessment,,x ,x,x,x
RA-3(1),Risk Assessment | Supply Chain Risk Assessment,,,x,x ,x
RA-3(2),Risk Assessment | Use of All-source Intelligence,,,,,
RA-3(3),Risk Assessment | Dynamic Threat Awareness,,,,,
RA-3(4),Risk Assessment | Predictive Cyber Analytics,,,,,
RA-4,Risk Assessment Update,w,,,,
RA-5,Vulnerability Monitoring and Scanning,,,x,x,x
RA-5(1),Vulnerability Monitoring and Scanning | Update Tool Capability,w,,,,
RA-5(2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,,,x,x,x
RA-5(3),Vulnerability Monitoring and Scanning | Breadth and Depth of Coverage,,,,,
RA-5(4),Vulnerability Monitoring and Scanning | Discoverable Information,,,,,x
RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,,,,x,x
RA-5(6),Vulnerability Monitoring and Scanning | Automated Trend Analyses,,,,,
RA-5(7),Vulnerability Monitoring and Scanning | Automated Detection and Notification of Unauthorized Components,w,,,,
RA-5(8),Vulnerability Monitoring and Scanning | Review Historic Audit Logs,,,,,
RA-5(9),Vulnerability Monitoring and Scanning | Penetration Testing and Analyses,w,,,,
RA-5(10),Vulnerability Monitoring and Scanning | Correlate Scanning Information,,,,,
RA-5(11),Vulnerability Monitoring and Scanning | Public Disclosure Program,,,x,x,x
RA-6,Technical Surveillance Countermeasures Survey,,,,,
RA-7,Risk Response,,x ,x,x,x
RA-8,Privacy Impact Assessments,,x ,,,
RA-9,Criticality Analysis,,,,x,x
RA-10,Threat Hunting,,,,,
SA-1,Policy and Procedures,,x ,x,x,x
SA-2,Allocation of Resources,,x,x,x,x
SA-3,System Development Life Cycle,,x,x,x,x
SA-3(1),System Development Life Cycle | Manage Preproduction Environment,,,,,
SA-3(2),System Development Life Cycle | Use of Live or Operational Data,,,,,
SA-3(3),System Development Life Cycle | Technology Refresh,,,,,
SA-4,Acquisition Process,,x ,x,x,x
SA-4(1),Acquisition Process | Functional Properties of Controls,,,,x,x
SA-4(2),Acquisition Process | Design and Implementation Information for Controls,,,,x,x
SA-4(3),"Acquisition Process | Development Methods, Techniques, and Practices",,,,,
SA-4(4),Acquisition Process | Assignment of Components to Systems,w,,,,
SA-4(5),"Acquisition Process | System, Component, and Service Configurations",,,,,x
SA-4(6),Acquisition Process | Use of Information Assurance Products,,,,,
SA-4(7),Acquisition Process | NIAP-approved Protection Profiles,,,,,
SA-4(8),Acquisition Process | Continuous Monitoring Plan for Controls,,,,,
SA-4(9),"Acquisition Process | Functions, Ports, Protocols, and Services in Use",,,,x,x
SA-4(10),Acquisition Process | Use of Approved PIV Products,,,x,x,x
SA-4(11),Acquisition Process | System of Records,,,,,
SA-4(12),Acquisition Process | Data Ownership,,,,,
SA-5,System Documentation,,,x,x,x
SA-5(1),System Documentation | Functional Properties of Security Controls,w,,,,
SA-5(2),System Documentation | Security-relevant External System Interfaces,w,,,,
SA-5(3),System Documentation | High-level Design,w,,,,
SA-5(4),System Documentation | Low-level Design,w,,,,
SA-5(5),System Documentation | Source Code,w,,,,
SA-6,Software Usage Restrictions,w,,,,
SA-7,User-installed Software,w,,,,
SA-8,Security and Privacy Engineering Principles,,,x,x,x
SA-8(1),Security and Privacy Engineering Principles | Clear Abstractions,,,,,
SA-8(2),Security and Privacy Engineering Principles | Least Common Mechanism,,,,,
SA-8(3),Security and Privacy Engineering Principles | Modularity and Layering,,,,,
SA-8(4),Security and Privacy Engineering Principles | Partially Ordered Dependencies,,,,,
SA-8(5),Security and Privacy Engineering Principles | Efficiently Mediated Access,,,,,
SA-8(6),Security and Privacy Engineering Principles | Minimized Sharing,,,,,
SA-8(7),Security and Privacy Engineering Principles | Reduced Complexity,,,,,
SA-8(8),Security and Privacy Engineering Principles | Secure Evolvability,,,,,
SA-8(9),Security and Privacy Engineering Principles | Trusted Components,,,,,
SA-8(10),Security and Privacy Engineering Principles | Hierarchical Trust,,,,,
SA-8(11),Security and Privacy Engineering Principles | Inverse Modification Threshold,,,,,
SA-8(12),Security and Privacy Engineering Principles | Hierarchical Protection,,,,,
SA-8(13),Security and Privacy Engineering Principles | Minimized Security Elements,,,,,
SA-8(14),Security and Privacy Engineering Principles | Least Privilege,,,,,
SA-8(15),Security and Privacy Engineering Principles | Predicate Permission,,,,,
SA-8(16),Security and Privacy Engineering Principles | Self-reliant Trustworthiness,,,,,
SA-8(17),Security and Privacy Engineering Principles | Secure Distributed Composition,,,,,
